,Clm_cnt_Provider_BeneID,Clm_cnt_Provider_AttendingPhysician,Clm_cnt_Provider_OtherPhysician,Clm_cnt_Provider_OperatingPhysician,Clm_cnt_Provider_ClmAdmitDiagnosisCode,Clm_cnt_Provider_ClmDiagnosisCode_9,Clm_cnt_Provider_ClmDiagnosisCode_10,Clm_cnt_Provider_DiagnosisGroupCode,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmAdmitDiagnosisCode,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmProcedureCode_1,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmProcedureCode_2,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmProcedureCode_3,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmDiagnosisCode_1,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmDiagnosisCode_9,Clm_cnt_Provider_BeneID_AttendingPhysician_ClmDiagnosisCode_10,Clm_cnt_Provider_BeneID_AttendingPhysician_DiagnosisGroupCode,Clm_cnt_Provider_BeneID_OtherPhysician_ClmAdmitDiagnosisCode,Clm_cnt_Provider_BeneID_OtherPhysician_ClmProcedureCode_1,Clm_cnt_Provider_BeneID_OtherPhysician_ClmProcedureCode_2,Clm_cnt_Provider_BeneID_OtherPhysician_ClmProcedureCode_3,Clm_cnt_Provider_BeneID_OperatingPhysician_ClmProcedureCode_1,Clm_cnt_Provider_BeneID_OperatingPhysician_ClmProcedureCode_2,Clm_cnt_Provider_BeneID_OperatingPhysician_ClmProcedureCode_3,Clm_cnt_Provider_BeneID_OperatingPhysician_ClmDiagnosisCode_9,Clm_cnt_Provider_BeneID_OperatingPhysician_ClmDiagnosisCode_10,Clm_cnt_Provider_BeneID_OperatingPhysician_DiagnosisGroupCode,Clm_cnt_Provider_BeneID_ClmDiagnosisCode_10_ClmProcedureCode_3,PRV_TotalDeductibleAmtPaid,PRV_TotalInscClaimAmtReimbursed,PRV_TotalAdmit_Period,Prv_unq_cnt_DiagnosisGroupCode,Is_admit
Clm_cnt_Provider_BeneID,1,0.9999981032482649,0.9858797739834962,0.9808019067377783,0.9576371051734494,0.6421599269467799,0.4860513976353087,0.2912116143621338,0.957232515,0.2987545993736649,0.2896869911272567,0.2579591223812156,0.9999820090692177,0.6420059473877074,0.4860953601416426,0.2913889803282723,0.9046281963309384,0.2370956792528626,0.18842055425145485,0.11227393622076887,0.2986156527094267,0.289728163,0.2581329756480992,0.5736908070343412,0.4204768504062919,0.29225197849913465,0.16074349501577118,0.3193084730490456,0.5424634009322209,0.2906493902966653,0.2878344055113526,0.2912116143621338
Clm_cnt_Provider_AttendingPhysician,0.9999981032482649,1,0.9859078758116351,0.9807976487144411,0.9576266753769366,0.6421561002365712,0.4860665352792876,0.2912009997288925,0.9572314119940429,0.298747144,0.28969071497041227,0.25792517247772134,0.9999841642289432,0.6420056316075259,0.48611072025520413,0.291381464,0.9046661494579915,0.2371721737444533,0.18851487117795637,0.11230909515701261,0.2986077303689753,0.28973186110951976,0.258098885,0.5736906934494664,0.42048509039669035,0.2922447041807482,0.1607090153327006,0.3192967994317405,0.5424561593484751,0.2906435481506437,0.2878304830992011,0.2912009997288925
Clm_cnt_Provider_OtherPhysician,0.9858797739834962,0.9859078758116351,1,0.9555940390430755,0.9245179746132739,0.5841717983244591,0.42850901760480564,0.22455000145275694,0.924096287,0.23214664796315776,0.22532159002386093,0.20049783779935285,0.9857380403310768,0.5840113947318674,0.4285755264384642,0.2247187549318596,0.9092504262612571,0.218936215,0.1709953322148948,0.10217408282451905,0.2319990548433786,0.22535529304607735,0.20064092475915898,0.513649505,0.3646980373079614,0.22542723153442257,0.13111409418769202,0.2527237348208361,0.4803958857873091,0.22455267923883004,0.22154115011557052,0.22455000145275694
Clm_cnt_Provider_OperatingPhysician,0.9808019067377783,0.9807976487144411,0.9555940390430755,1,0.9896608453437227,0.7658709716443971,0.621200045,0.4564218506304437,0.9894973820106868,0.4650520526672255,0.4509122850662684,0.3947608576118486,0.9811516681693102,0.7657466071928739,0.6211906676739106,0.45659445484103744,0.9198925148643952,0.34314982784631626,0.2843092519157815,0.1700206147249772,0.46493843432810666,0.4509546008144546,0.3949253845729361,0.709901928,0.560565812,0.45907553128226863,0.24467179530246613,0.4823259089527146,0.6815247296572559,0.4548316039314861,0.4521395924399126,0.4564218506304437
Clm_cnt_Provider_ClmAdmitDiagnosisCode,0.9576371051734494,0.9576266753769366,0.9245179746132739,0.9896608453437227,1,0.8271752963712027,0.6887610792908031,0.5466185026992059,0.9999789716343014,0.5517191314915267,0.5354859376102383,0.4656315972471354,0.9581659861051901,0.8270634537755159,0.6887243382204791,0.5467805254416972,0.9202345451845065,0.39811397788242353,0.3354602543457159,0.20216204989918687,0.5515941537252987,0.5355225695667288,0.4657611202423787,0.7740220443497359,0.6281708319416173,0.5461163243980033,0.28828194704265875,0.5709877820103453,0.7524342646111639,0.5443840978895751,0.5414635933024177,0.5466185026992059
Clm_cnt_Provider_ClmDiagnosisCode_9,0.6421599269467799,0.6421561002365712,0.5841717983244591,0.7658709716443971,0.8271752963712027,1,0.9295180420357506,0.9121766662285166,0.8279151162909087,0.9118574256792776,0.8852538202088769,0.7551147913693924,0.6437192505493446,0.9999772864543713,0.9293499354456501,0.9122345188419204,0.7125054621974755,0.6154504640752027,0.5402578214511667,0.32331176013336127,0.9117939173179322,0.8852829959068008,0.7551736449880858,0.98816782,0.8952616492810951,0.9094352582791273,0.47378734886573215,0.9232401348849935,0.979891415,0.9084934700230591,0.9062700144689054,0.9121766662285166
Clm_cnt_Provider_ClmDiagnosisCode_10,0.4860513976353087,0.4860665352792876,0.42850901760480564,0.621200045,0.6887610792908031,0.9295180420357506,1,0.9090485327574869,0.6897278511661611,0.9089738089450944,0.8814578083703675,0.7457913255804607,0.4876588702334438,0.9296732110305224,0.99998642,0.909199687,0.5787901726320358,0.6025800653843226,0.5239182991541362,0.318252233,0.908872853,0.8814859616895246,0.7458427778810978,0.9314885199448948,0.9690862540738594,0.9077706826896155,0.5113877169799375,0.915295906,0.9333763372660391,0.9047075929916286,0.9067737494632279,0.9090485327574869
Clm_cnt_Provider_DiagnosisGroupCode,0.2912116143621338,0.2912009997288925,0.22455000145275694,0.4564218506304437,0.5466185026992059,0.9121766662285166,0.9090485327574869,1,0.5477273554028707,0.9943970318926264,0.965114396,0.8210652647742445,0.2931244757681172,0.9122370181421706,0.9088020277930785,0.9999817371498497,0.4291301605736644,0.6468272289997079,0.5787235212868165,0.35150879061654444,0.9943911716988159,0.9651177220327997,0.8209938368377913,0.9344093742475864,0.8996363674710078,0.9949572628394915,0.5106235315582762,0.9993909257547692,0.9541892103506057,0.9937699261938737,0.9933253407334464,1
Clm_cnt_Provider_BeneID_AttendingPhysician_ClmAdmitDiagnosisCode,0.957232515,0.9572314119940429,0.924096287,0.9894973820106868,0.9999789716343014,0.8279151162909087,0.6897278511661611,0.5477273554028707,1,0.5528194644898773,0.5365598227042243,0.4665204521781752,0.9577725281286219,0.8278163926863346,0.6896909921221348,0.5479026061120448,0.920153982,0.3989181736922093,0.33621455978917114,0.20272517797132633,0.5526935436794082,0.5365963173923525,0.4666492178939993,0.7748596281168558,0.6291415981250724,0.5472191516919833,0.2886713123239001,0.5720716728728493,0.7533020387024892,0.5455055893108327,0.5425891722522815,0.5477273554028707
Clm_cnt_Provider_BeneID_AttendingPhysician_ClmProcedureCode_1,0.2987545993736649,0.298747144,0.23214664796315776,0.4650520526672255,0.5517191314915267,0.9118574256792776,0.9089738089450944,0.9943970318926264,0.5528194644898773,1,0.9695830066918467,0.8217447987206198,0.3006500985599238,0.9119022254821233,0.9086950784240205,0.9944245314351319,0.43833789187792704,0.6592145086039006,0.5874561317664322,0.35597807014771904,0.9999880009234949,0.9695934914183391,0.8217052934089975,0.941812533,0.9060481134356082,0.9995069727535315,0.5146291030474704,0.9939350051055688,0.9553021669159949,0.9901575054007646,0.9881676726913606,0.9943970318926264
